"","V1","id","uuid","oem","form_factor","os.grep","Segment","Vertical","industry","G22Row","continent","email","born_on_year","born_on_year_group","device_count","device_count_group","physical_server_count","physical_server_group","Employees","pc_count","pcs","program_1","program_2","program_3","program_4","program_5","program_6","program_7","program_8","program_9","program_10","program_11","program_12","program_13","program_14","program_15","program_16","program_17","program_18","program_19","program_20","program_21","program_22","program_23","program_24","program_25","program_26","program_27","program_28","program_29","program_30","program_31","program_32","program_33","ms_count","total_prog_count","percent_ms_prog","ms_fan"
"1","1",1241220,"239396028e0a89eea32cdf6709caba6a","hp","d","windows xp","SB","Health","healthcare","US","America_North",1,2009,"2005-2009",1,"1",NA,NA,"10-49",7,"5-24",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"yes"
"2","2",1241221,"239396028e0a89eea32cdf6709caba6a","dell","d","windows 7","SB","Health","healthcare","US","America_North",1,2012,"2010-2014",1,"1",NA,NA,"10-49",7,"5-24",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,"no"
"3","3",1242872,"23e09bc08142cf274a2801edb240e5e5","asustek","l","windows xp","MM","IT Services","it service provider","Rest of CEE","Europe",1,2007,"2005-2009",1,"1",8,"5-9","100-499",456,"250-499",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"yes"
"4","4",1243274,"234d68e8a754d5bedd908c17b2c0bb5b","dell","d","windows xp","MM","Distribution & Services","retail","US","America_North",1,2008,"2005-2009",1,"1",5,"5-9","100-499",101,"50-249",0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0.5,"no"
"5","5",1244915,"23029a012e932e7c3fb4084fa5cabe76","lenovo","l","windows 7","MM","Manufacturing & Resources","manufacturing","US","America_North",1,2010,"2010-2014",1,"1",7,"5-9","100-499",208,"50-249",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,"yes"
"6","6",1251311,"23757a573c926ac9cb94ed7af5921f6d","dell","l","windows 7","MM","Manufacturing & Resources","engineering","US","America_North",1,2011,"2010-2014",1,"1",9,"5-9","500-999",421,"250-499",0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,0.6,"yes"
"7","7",1256480,"245819c437d54dae164b596f44fd6f62","lenovo","d","windows xp","ENT","Health","healthcare","US","America_North",1,2011,"2010-2014",1,"1",NA,NA,"1000+",1294,"500+",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.5,"no"
"8","8",1257287,"233c3524199196cf3f72d2c2466c38d7","lenovo","l","windows xp","MM","Distribution & Services","marketing","UK","Europe",1,2006,"2005-2009",1,"1",16,"10-19","100-499",206,"50-249",0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0.6,"yes"
"9","9",1259537,"23a0d167926f6c7fd261713d9d0cf6ac","dell","l","windows 7","MM","it services","it service provider","Rest of Latam","America_South",1,2012,"2010-2014",1,"1",12,"10-19","100-499",100,"50-249",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5,0.6,"yes"
"10","10",1259742,"23ee1e29ceb3f986ab52cc2e67bfada7","hp","d","windows 7","MM","Distribution & Services","entertainment","Rest of MEA","Asia",1,2012,"2010-2014",1,"1",5,"5-9","50-99",69,"50-249",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5,0.6,"yes"
